english_word,spanish_word,spanish_meaning_ff,relationship_type,part_of_speech,cultural_domain,first_attestation_english,first_attestation_spanish,jaccard_similarity,levenshtein_similarity,complexity_syllables,complexity_length,complexity_frequency_complexity,complexity_semantic_complexity,complexity_overall_complexity,complexity_syll_component,complexity_freq_component,complexity_semantic_component,complexity_length_component
december,diciembre,,cognates,noun,time_calendar,1825,1545,0.857,0.556,3,8,1.93,1,42.3,16.6,9.6,4,12
decentralization,descentralización,,cognates,noun,government_politics,1840,1556,0.769,0.824,6,16,4.13,2,69.7,23.4,20.6,5.7,20
deception,decepción,Disappointment,false_friends,noun,emotions_psychology,1325,1833,0.667,0.778,3,9,3.35,3,53.7,16.6,16.8,6.9,13.4
decipherment,desciframiento,,cognates,noun,language_communication,1708,1781,0.571,0.5,4,12,5.23,1,66.4,19.3,26.2,4,17
decision,decisión,,cognates,noun,other,1886,1556,0.75,0.875,3,8,1.91,5,47.1,16.6,9.6,8.9,12
declaration,declaración,,cognates,noun,language_communication,1767,1556,0.727,0.818,4,11,2.9,6,59.5,19.3,14.5,9.8,15.9
decompression,descompresión,,cognates,noun,technology_tools,1400,1745,0.909,0.769,4,13,4.07,2,63.3,19.3,20.4,5.7,18
deconstruction,deconstrucción,,cognates,noun,education_knowledge,1880,1833,0.909,0.857,4,14,4.14,1,63,19.3,20.7,4,19
decontamination,descontaminación,,cognates,noun,health_medicine,1930,1860,0.818,0.812,6,15,4.22,1,68.4,23.4,21.1,4,19.9
decoration,decoración,,cognates,noun,housing_architecture,1816,1573,0.8,0.8,4,10,3.18,3,56.8,19.3,15.9,6.9,14.7
decorative,decorativo,,cognates,noun,arts_entertainment,1940,1633,1,0.9,3,10,3.2,1,51.3,16.6,16,4,14.7
decorum,decoro,,cognates,noun,values_ethics,1500,1545,0.714,0.714,3,7,4.13,1,51.7,16.6,20.6,4,10.4
decrescendo,decrescendo,,cognates,noun,arts_entertainment,1800,1768,1,1,3,11,5.65,3,67.7,16.6,28.2,6.9,15.9
decubitus,decúbito,,cognates,noun,health_medicine,1870,1578,0.6,0.667,4,9,5.53,1,64.4,19.3,27.7,4,13.4
deduction,deducción,,cognates,noun,education_knowledge,1325,1556,0.667,0.778,3,9,3.54,6,57.5,16.6,17.7,9.8,13.4
defence,defender,,cognates,noun,government_politics,1300,1545,0.667,0.75,2,7,2.49,11,49.3,13.2,12.5,13.3,10.4
defenestration,defenestración,,cognates,noun,government_politics,1620,1895,0.75,0.857,5,14,5.15,1,70.2,21.5,25.8,4,19
defense,defensa,,cognates,noun,government_politics,1300,1545,0.833,0.857,2,7,2.07,12,47.8,13.2,10.4,13.9,10.4
deficit,déficit,,cognates,noun,economics_commerce,1708,1545,0.714,0.857,3,7,2.94,4,49.7,16.6,14.7,8,10.4
deforestation,desforestación,,cognates,noun,nature_geography,1842,1783,0.833,0.786,5,13,3.8,2,64.2,21.5,19,5.7,18
deformation,deformación,,cognates,noun,technology_tools,1200,1633,0.75,0.818,4,11,3.84,3,61.3,19.3,19.2,6.9,15.9
deglutition,deglución,,cognates,noun,health_medicine,1300,1578,0.636,0.636,4,11,7,1,74.2,19.3,35,4,15.9
degradation,degradación,,cognates,noun,other,1850,1556,0.636,0.818,4,11,3.4,2,57.8,19.3,17,5.7,15.9
dehumanization,deshumanización,,cognates,noun,emotions_psychology,1850,1876,0.643,0.8,6,14,4.68,1,69.7,23.4,23.4,4,19
delegacy,delegación,,cognates,noun,government_politics,1325,1556,0.6,0.7,4,8,5.92,3,67.8,19.3,29.6,6.9,12
delicatessen,delicatessen,,loanword_en_to_es,noun,food_cuisine,1877,1904,1,1,5,12,4.52,2,66.7,21.5,22.6,5.7,17
delicious,delicioso,,cognates,adjective,food_cuisine,1300,1616,0.875,0.778,3,9,2.66,3,50.3,16.6,13.3,6.9,13.4
delight,delito,Crime,false_friends,noun,emotions_psychology,1325,1768,0.625,0.571,2,7,3.03,5,47.7,13.2,15.1,8.9,10.4
delivery,delivery,,loanword_en_to_es,noun,health_medicine,1200,1788,1,1,4,8,2.41,7,53.9,19.3,12.1,10.6,12
deluxe,deluxe,,loanword_en_to_es,noun,economics_commerce,1300,1949,1,1,2,6,3.28,2,43.7,13.2,16.4,5.7,8.5
democratic,democrático,,cognates,adjective,government_politics,1600,1571,0.8,0.818,4,10,2.27,3,52.3,19.3,11.3,6.9,14.7
democratization,democratización,,cognates,noun,government_politics,1798,1732,0.917,0.867,6,15,4.23,1,68.4,23.4,21.2,4,19.9
demolishing,demolición,,cognates,verb,housing_architecture,1500,1556,0.583,0.636,4,11,4.19,4,64.1,19.3,20.9,8,15.9
demonetization,desmonetización,,cognates,noun,economics_commerce,1838,1732,0.75,0.8,6,14,4.96,1,71.1,23.4,24.8,4,19
demonstration,demonstración,,cognates,noun,education_knowledge,1807,1603,0.833,0.846,4,13,2.94,5,61,19.3,14.7,8.9,18
density,densidad,,cognates,noun,education_knowledge,1600,1569,0.625,0.625,3,7,2.67,2,46,16.6,13.3,5.7,10.4
denticle,dentículo,,cognates,noun,health_medicine,1325,1775,0.6,0.667,3,8,5.74,1,61.3,16.6,28.7,4,12
denudation,denudación,,cognates,noun,nature_geography,1200,1745,0.6,0.8,3,10,5.51,1,62.9,16.6,27.5,4,14.7
department,departamento,,cognates,noun,government_politics,1500,1556,0.889,0.833,3,10,1.77,3,47.1,16.6,8.8,6.9,14.7
depigmentation,despigmentación,,cognates,noun,health_medicine,1880,1879,0.692,0.8,5,14,5.6,1,72.5,21.5,28,4,19
deport,deporte,Sport,false_friends,noun,government_politics,1450,1740,1,0.857,2,6,3.82,3,47.7,13.2,19.1,6.9,8.5
deposit,depósito,,cognates,noun,economics_commerce,1737,1545,0.875,0.75,3,7,2.76,12,54.7,16.6,13.8,13.9,10.4
deposition,deposición,,cognates,noun,government_politics,1325,1564,0.7,0.8,4,10,3.49,4,59.5,19.3,17.5,8,14.7
deregulation,desregulación,,cognates,noun,government_politics,1960,1829,0.643,0.769,5,12,3.83,1,61.6,21.5,19.1,4,17
derivative,derivada,,cognates,adjective,education_knowledge,1500,1627,0.857,0.6,4,10,3.35,5,59.7,19.3,16.8,8.9,14.7
dermatitis,dermatitis,,cognates,noun,health_medicine,1870,1745,1,1,3,10,4.09,1,55.8,16.6,20.4,4,14.7
dermatoglyphics,dermatoglífico,,cognates,noun,health_medicine,1920,1879,0.647,0.733,4,15,7,2,79.9,19.3,35,5.7,19.9
dermatology,dermatología,,cognates,noun,health_medicine,1810,1745,0.818,0.833,5,11,4.07,1,61.7,21.5,20.4,4,15.9
derogation,derogación,,cognates,noun,values_ethics,1325,1556,0.727,0.8,3,10,4.94,2,61.7,16.6,24.7,5.7,14.7
descent,descenso,,cognates,noun,family_kinship,1300,1573,0.714,0.75,2,7,3.07,6,48.7,13.2,15.3,9.8,10.4
description,descripción,,cognates,noun,language_communication,1325,1542,0.727,0.818,3,11,2.27,3,50.8,16.6,11.3,6.9,15.9
desert,desierto,,cognates,noun,nature_geography,1600,1545,0.714,0.75,2,6,2.6,4,42.7,13.2,13,8,8.5
design,diseño,,cognates,noun,technology_tools,1325,1545,0.5,0.333,2,6,1.83,14,45.8,13.2,9.2,15,8.5
designation,designación,,cognates,noun,language_communication,1600,1556,0.636,0.818,4,11,3.24,3,58.3,19.3,16.2,6.9,15.9
desire,deseo,,cognates,noun,emotions_psychology,1325,1545,0.5,0.5,3,6,2.39,6,46.9,16.6,11.9,9.8,8.5
desperado,desperado,,loanword_es_to_en,noun,emotions_psychology,1600,1708,1,1,4,9,4.64,1,59.9,19.3,23.2,4,13.4
desperate,despertar,Wake up,false_friends,noun,emotions_psychology,1325,1775,1,0.667,2,9,2.68,7,50.6,13.2,13.4,10.6,13.4
dessert,desierto,Desert,false_friends,noun,food_cuisine,1600,1769,0.714,0.75,2,7,3.17,1,43.4,13.2,15.8,4,10.4
destitute,destituido,Fired/Deprived,false_friends,noun,economics_commerce,1325,1500,0.857,0.7,3,9,3.93,2,55.4,16.6,19.7,5.7,13.4
destructibility,destructibilidad,,cognates,noun,technology_tools,1700,1788,0.833,0.812,5,15,7,1,80.4,21.5,35,4,19.9
destruction,destrucción,,cognates,noun,other,1300,1556,0.818,0.818,3,11,2.64,3,52.6,16.6,13.2,6.9,15.9
detail,detalle,,cognates,noun,education_knowledge,1600,1545,0.833,0.714,2,6,2.43,7,44.4,13.2,12.1,10.6,8.5
detection,detección,,cognates,noun,technology_tools,1325,1748,0.75,0.778,3,9,2.94,4,52.8,16.6,14.7,8,13.4
determination,determinación,,cognates,noun,emotions_psychology,1822,1556,0.727,0.846,5,13,2.84,5,62.6,21.5,14.2,8.9,18
determinism,determinismo,,cognates,noun,values_ethics,1840,1646,0.889,0.917,5,11,4.25,1,62.6,21.5,21.2,4,15.9
dethronement,destronamiento,,cognates,noun,government_politics,1600,1573,0.636,0.643,3,12,5.47,1,65,16.6,27.3,4,17
detonation,detonación,,cognates,noun,technology_tools,1826,1711,0.778,0.8,4,10,3.94,2,59.4,19.3,19.7,5.7,14.7
deviation,desviación,,cognates,noun,education_knowledge,1894,1573,0.545,0.7,4,9,3.6,5,59.7,19.3,18,8.9,13.4
deviationism,desviacionismo,,cognates,noun,values_ethics,1940,1932,0.818,0.786,5,12,7,1,77.5,21.5,35,4,17
devoir,deber,,cognates,noun,values_ethics,1325,1545,0.429,0.5,2,6,5.22,1,51.8,13.2,26.1,4,8.5
diabetes,diabetes,,cognates,noun,health_medicine,1600,1740,1,1,4,8,2.83,1,49.5,19.3,14.2,4,12
dialysis,diálisis,,cognates,noun,health_medicine,1914,1823,0.571,0.75,4,8,3.73,1,54,19.3,18.6,4,12
diameter,diámetro,,cognates,noun,education_knowledge,1325,1634,0.667,0.625,4,8,2.92,2,51.6,19.3,14.6,5.7,12
diamond,diamante,,cognates,noun,nature_geography,1875,1556,0.625,0.625,2,7,2.58,6,46.3,13.2,12.9,9.8,10.4
diathermy,diatermia,,cognates,noun,health_medicine,1910,1745,0.778,0.667,4,9,5.52,1,64.3,19.3,27.6,4,13.4
dictate,dictado,,cognates,noun,language_communication,1508,1545,0.714,0.714,2,7,3.42,5,49.6,13.2,17.1,8.9,10.4
dictator,dictador,,cognates,noun,government_politics,1600,1562,1,0.875,3,8,3.34,3,52.3,16.6,16.7,6.9,12
dictionary,diccionario,,cognates,adjective,language_communication,1220,1545,0.778,0.727,4,10,2.98,1,52.9,19.3,14.9,4,14.7
didgeridoo,didgeridoo,,loanword_en_to_es,noun,arts_entertainment,1925,2000,1,1,2,10,4.76,0,51.7,13.2,23.8,0,14.7
dietetics,dietética,,cognates,noun,health_medicine,1608,1697,0.625,0.778,3,9,4.54,1,56.8,16.6,22.7,4,13.4
different,diferente,,cognates,adjective,education_knowledge,1912,1545,1,0.778,3,9,1.41,5,46,16.6,7.1,8.9,13.4
difficulty,dificultad,,cognates,noun,emotions_psychology,1400,1542,0.778,0.7,4,10,2.67,4,55.4,19.3,13.3,8,14.7
digestibility,digestibilidad,,cognates,noun,health_medicine,1700,1793,0.8,0.786,4,13,5.02,1,66.4,19.3,25.1,4,18
digital,digital,,cognates,noun,technology_tools,1945,1569,1,1,3,7,2.17,3,44.8,16.6,10.8,6.9,10.4
digitization,digitalización,,cognates,noun,technology_tools,1950,1807,0.636,0.714,5,12,4.48,1,64.9,21.5,22.4,4,17
dignity,dignidad,,cognates,noun,values_ethics,1325,1556,0.571,0.625,3,7,2.98,3,48.9,16.6,14.9,6.9,10.4
digression,digresión,,cognates,noun,language_communication,1325,1556,0.778,0.8,3,10,4.75,3,62,16.6,23.8,6.9,14.7
dilation,dilatación,,cognates,noun,health_medicine,1400,1578,0.667,0.7,3,8,4.12,2,54.9,16.6,20.6,5.7,12
diligence,diligencia,,cognates,noun,values_ethics,1325,1542,0.875,0.8,3,9,3.49,3,54.4,16.6,17.5,6.9,13.4
dimension,dimensión,,cognates,noun,education_knowledge,1929,1556,0.75,0.889,3,9,2.98,6,54.7,16.6,14.9,9.8,13.4
dimensionality,dimensionalidad,,cognates,noun,education_knowledge,1870,1923,0.818,0.8,6,14,4.59,1,69.3,23.4,22.9,4,19
diminuendo,diminuendo,,cognates,noun,arts_entertainment,1900,1745,1,1,4,10,5.34,2,66.4,19.3,26.7,5.7,14.7
diminution,disminución,,cognates,noun,education_knowledge,1300,1556,0.5,0.727,4,10,4.6,3,63.9,19.3,23,6.9,14.7
dinner,dinero,Money,false_friends,noun,food_cuisine,1830,1776,0.833,0.667,2,6,2.22,2,38.4,13.2,11.1,5.7,8.5
dinosaur,dinosaurio,,cognates,noun,nature_geography,1841,1897,1,0.8,3,8,3.23,1,48.8,16.6,16.1,4,12
diorama,diorama,,cognates,noun,arts_entertainment,1820,1820,1,1,3,7,4.51,1,53.6,16.6,22.5,4,10.4
diplodocus,diplodocus,,cognates,noun,nature_geography,1884,1918,1,1,1,10,5.08,1,52.4,8.3,25.4,4,14.7
diploma,diploma,,cognates,noun,education_knowledge,1600,1612,1,1,3,7,3.24,1,47.2,16.6,16.2,4,10.4
dipteran,dipteros,,cognates,noun,nature_geography,1840,1833,0.6,0.75,2,8,5.65,1,57.4,13.2,28.2,4,12
direction,dirección,,cognates,noun,education_knowledge,1325,1556,0.667,0.778,3,9,2.07,9,52.4,16.6,10.4,12,13.4
directly,directamente,,cognates,adverb,language_communication,1600,1545,0.545,0.5,3,8,2.1,4,47.1,16.6,10.5,8,12
director,director,,cognates,noun,social,1911,1545,1,1,3,8,1.85,5,46.8,16.6,9.2,8.9,12
dirigible,dirigible,,cognates,adjective,transportation,1508,1777,1,1,4,9,4.84,2,62.6,19.3,24.2,5.7,13.4
disaster,desastre,,cognates,noun,emotions_psychology,1600,1542,0.857,0.625,3,8,2.61,3,48.6,16.6,13.1,6.9,12
disc,disco,,cognates,noun,technology_tools,1600,1640,0.8,0.8,1,4,2.87,4,30.7,8.3,14.4,8,0
discernment,discernimiento,,cognates,noun,values_ethics,1508,1545,0.9,0.786,3,11,4.21,5,62.5,16.6,21.1,8.9,15.9
discipline,disciplina,,cognates,noun,emotions_psychology,1200,1542,0.778,0.9,3,10,2.77,7,55.8,16.6,13.8,10.6,14.7
discretion,discrección,,cognates,noun,values_ethics,1325,1684,0.7,0.727,3,10,3.1,5,55.8,16.6,15.5,8.9,14.7
discussion,discusión,,cognates,noun,language_communication,1325,1556,0.75,0.8,3,10,2.29,2,48.4,16.6,11.4,5.7,14.7
disenchantment,desencanto,,cognates,noun,emotions_psychology,1600,1571,0.636,0.571,4,14,4.54,1,65,19.3,22.7,4,19
disfigurement,desfiguración,,cognates,noun,health_medicine,1600,1769,0.643,0.538,4,13,4.54,2,65.7,19.3,22.7,5.7,18
disgrace,desgracia,Misfortune,false_friends,noun,values_ethics,1508,1556,1,0.667,2,8,3.27,4,49.5,13.2,16.4,8,12
disgust,disgusto,,cognates,noun,emotions_psychology,1508,1705,0.857,0.875,2,7,3.39,3,47.5,13.2,16.9,6.9,10.4
disgusted,disgustado,Upset,false_friends,adjective,emotions_psychology,1650,1897,0.667,0.8,3,9,3.43,3,54.1,16.6,17.2,6.9,13.4
disharmony,disarmonía,,cognates,noun,emotions_psychology,1600,1879,0.727,0.7,4,10,4.66,1,61.3,19.3,23.3,4,14.7
disinfection,desinfección,,cognates,noun,health_medicine,1800,1745,0.7,0.75,4,12,4.33,1,61.9,19.3,21.6,4,17
disinfestation,desinfestación,,cognates,noun,technology_tools,1920,1902,0.727,0.786,5,14,7,1,79.5,21.5,35,4,19
disinvestment,desinversión,,cognates,noun,economics_commerce,1938,1920,0.6,0.538,4,13,4.93,1,66,19.3,24.6,4,18
disney,disney,,loanword_en_to_es,noun,arts_entertainment,1939,1951,1,1,2,6,2.61,1,38.7,13.2,13.1,4,8.5
disorientation,desorientación,,cognates,noun,emotions_psychology,1860,1659,0.818,0.786,6,14,4.31,2,69.5,23.4,21.6,5.7,19
dispersion,dispersión,,cognates,noun,technology_tools,1727,1571,0.778,0.9,3,10,3.82,3,57.4,16.6,19.1,6.9,14.7
displacement,desplazamiento,,cognates,noun,government_politics,1809,1571,0.769,0.643,3,12,3.37,7,61,16.6,16.9,10.6,17
disposition,disposición,,cognates,noun,emotions_psychology,1325,1542,0.667,0.818,4,11,3.52,4,60.8,19.3,17.6,8,15.9
dissimulation,disimulación,,cognates,noun,emotions_psychology,1325,1564,0.667,0.769,5,13,5.19,1,69.5,21.5,25.9,4,18
dissolubility,solubilidad,,cognates,noun,education_knowledge,1600,1745,0.7,0.538,6,13,7,1,80.4,23.4,35,4,18
dissolution,disolución,,cognates,noun,values_ethics,1325,1556,0.7,0.727,4,11,3.39,5,61.1,19.3,16.9,8.9,15.9
distance,distancia,,cognates,noun,nature_geography,1300,1542,0.875,0.778,2,8,2.15,8,47.2,13.2,10.8,11.3,12
distraction,distracción,,cognates,noun,emotions_psychology,1600,1556,0.8,0.818,3,11,3.22,4,56.6,16.6,16.1,8,15.9
disunion,disyunción,,cognates,noun,government_politics,1600,1732,0.556,0.7,3,8,5.15,1,58.4,16.6,25.8,4,12
diversification,diversificación,,cognates,noun,economics_commerce,1600,1769,0.769,0.867,6,15,3.78,2,67.8,23.4,18.9,5.7,19.9
diversion,diversión,Fun,false_friends,noun,emotions_psychology,1600,1624,0.778,0.889,3,9,3.49,3,54.4,16.6,17.5,6.9,13.4
division,división,,cognates,noun,education_knowledge,1325,1556,0.714,0.875,3,8,2.14,12,53.2,16.6,10.7,13.9,12
dixie,dixie,,loanword_en_to_es,noun,social,1910,1703,1,1,2,5,3.63,2,43,13.2,18.1,5.7,6
docility,docilidad,,cognates,noun,emotions_psychology,1500,1578,0.625,0.667,4,8,5.2,1,61.3,19.3,26,4,12
doctor,doctor,,cognates,noun,health_medicine,1300,1522,1,1,2,6,2.1,7,42.8,13.2,10.5,10.6,8.5
doctrine,doctrina,,cognates,noun,religion_spirituality,1325,1545,0.778,0.875,2,8,3.02,1,44.3,13.2,15.1,4,12
document,documento,,cognates,noun,language_communication,1711,1545,1,0.889,3,8,2.5,6,50.9,16.6,12.5,9.8,12
documentation,documentación,,cognates,noun,language_communication,1754,1556,0.909,0.846,5,13,3.05,3,61.7,21.5,15.2,6.9,18
dominoes,dominó,,cognates,noun,sports_recreation,1800,1545,0.625,0.625,3,8,4.17,5,58.4,16.6,20.9,8.9,12
doodle,doodle,,loanword_en_to_es,noun,arts_entertainment,1775,1842,1,1,2,6,3.71,2,45.9,13.2,18.6,5.7,8.5
dormitory,dormitorio,Bedroom,false_friends,noun,housing_architecture,1325,1571,0.857,0.8,4,9,3.88,2,57.8,19.3,19.4,5.7,13.4
dose,dosis,,cognates,noun,health_medicine,1600,1578,0.6,0.6,1,4,2.8,6,32.1,8.3,14,9.8,0
double,doble,,cognates,adverb,education_knowledge,1300,1545,0.833,0.833,2,6,1.99,21,49.9,13.2,10,18.3,8.5
downgrade,downgrade,,cognates,noun,economics_commerce,1880,1942,1,1,2,9,3.77,2,51.1,13.2,18.9,5.7,13.4
downswing,downswing,,cognates,verb,sports_recreation,1890,1948,1,1,2,9,4.99,2,57.2,13.2,25,5.7,13.4
dragon,dragón,,cognates,noun,arts_entertainment,1300,1573,0.714,0.833,2,6,2.59,4,42.6,13.2,12.9,8,8.5
drainage,drenaje,,cognates,noun,technology_tools,1860,1620,0.625,0.625,2,8,3.23,1,45.3,13.2,16.1,4,12
dramatic,dramático,,cognates,adjective,arts_entertainment,1725,1545,0.778,0.778,3,8,2.59,4,49.6,16.6,12.9,8,12
dramatization,dramatización,,cognates,noun,arts_entertainment,1796,1792,0.727,0.846,5,13,4.57,2,68,21.5,22.9,5.7,18
dualism,dualismo,,cognates,noun,values_ethics,1708,1573,0.875,0.875,4,7,4.4,1,55.7,19.3,22,4,10.4
ductility,ductilidad,,cognates,noun,technology_tools,1600,1732,0.75,0.7,4,9,4.91,1,61.3,19.3,24.6,4,13.4
duel,duelo,,cognates,noun,sports_recreation,1325,1545,0.8,0.8,2,4,3.35,3,36.9,13.2,16.8,6.9,0
durability,durabilidad,,cognates,noun,technology_tools,1325,1745,0.778,0.727,5,10,3.55,1,57.9,21.5,17.8,4,14.7
duration,duración,,cognates,noun,time_calendar,1325,1556,0.6,0.75,3,8,2.86,3,49.9,16.6,14.3,6.9,12
dynamic,dinámico,,cognates,adjective,education_knowledge,1856,1606,0.556,0.625,3,7,2.69,4,48.5,16.6,13.5,8,10.4
each,echar,To throw/To pour,false_friends,other,language_communication,1000,1500,0.8,0.4,1,4,1.31,2,20.5,8.3,6.5,5.7,0
echo,eco,,cognates,noun,nature_geography,1325,1545,0.75,0.75,2,4,2.96,9,40,13.2,14.8,12,0
eclecticism,eclecticismo,,cognates,noun,education_knowledge,1708,1732,0.875,0.917,3,11,4.67,1,59.9,16.6,23.4,4,15.9
economic,económico,,cognates,adjective,economics_commerce,1781,1545,0.857,0.778,4,8,1.9,5,49.8,19.3,9.5,8.9,12
economy,economía,,cognates,noun,economics_commerce,1325,1556,0.625,0.75,4,7,2.13,4,48.4,19.3,10.6,8,10.4
ecstasy,éxtasis,,cognates,noun,emotions_psychology,1325,1659,0.333,0.286,3,7,3.52,3,51.6,16.6,17.6,6.9,10.4
ectoderm,ectodermo,,cognates,noun,health_medicine,1853,1870,1,0.889,3,8,5.03,1,57.8,16.6,25.2,4,12
ectomorphy,ectomorfo,,cognates,noun,health_medicine,1940,1941,0.6,0.7,4,10,7,1,73,19.3,35,4,14.7
ectopia,ectopia,,cognates,noun,health_medicine,1708,1745,1,1,2,7,5.83,1,56.7,13.2,29.1,4,10.4
edification,edificación,,cognates,noun,values_ethics,1325,1556,0.7,0.818,5,11,4.71,1,64.9,21.5,23.6,4,15.9
editor,editor,,cognates,noun,arts_entertainment,1803,1522,1,1,3,6,2.38,2,42.7,16.6,11.9,5.7,8.5
education,educación,,cognates,noun,education_knowledge,1852,1556,0.7,0.778,4,9,1.72,6,51.1,19.3,8.6,9.8,13.4
educational,educacional,,cognates,adjective,education_knowledge,1830,1646,0.9,0.909,5,11,2.4,2,55,21.5,12,5.7,15.9
effect,efecto,,cognates,noun,education_knowledge,1325,1542,0.8,0.667,2,6,1.98,8,42.9,13.2,9.9,11.3,8.5
effective,efectivo,,cognates,adjective,education_knowledge,1325,1556,0.857,0.778,3,9,2.11,6,50.4,16.6,10.6,9.8,13.4
effort,esfuerzo,,cognates,noun,emotions_psychology,1752,1545,0.5,0.375,2,6,2.08,4,40.1,13.2,10.4,8,8.5
egalitarianism,igualitarismo,,cognates,noun,government_politics,1930,1764,0.667,0.571,8,14,4.48,1,70.4,25,22.4,4,19
egret,garzota,,cognates,noun,nature_geography,1300,1646,0.429,0.286,2,5,4.68,1,46.6,13.2,23.4,4,6
eigenvalue,eigenvalor,,cognates,noun,education_knowledge,1920,1952,0.7,0.8,4,10,4.62,1,61.1,19.3,23.1,4,14.7
elaboration,elaboración,,cognates,noun,education_knowledge,1508,1556,0.727,0.818,5,11,4.18,5,67.2,21.5,20.9,8.9,15.9
elasticity,elasticidad,,cognates,noun,technology_tools,1600,1545,0.778,0.727,5,10,3.9,1,59.7,21.5,19.5,4,14.7
election,elección,,cognates,noun,government_politics,1300,1556,0.625,0.75,3,8,1.92,4,46.2,16.6,9.6,8,12
electric,eléctrico,,cognates,adjective,technology_tools,1793,1556,0.75,0.778,3,8,2.28,4,48,16.6,11.4,8,12
electricity,electricidad,,cognates,noun,technology_tools,1793,1556,0.667,0.75,5,11,2.57,3,57.2,21.5,12.9,6.9,15.9
electrocardiography,electrocardiograma,,cognates,noun,health_medicine,1910,1745,0.714,0.842,7,19,5.21,1,75,25,26.1,4,20
electrocution,electrocución,,cognates,noun,health_medicine,1889,1879,0.9,0.846,5,13,4.42,2,67.3,21.5,22.1,5.7,18
electron,electrón,,cognates,noun,education_knowledge,1793,1732,0.75,0.875,3,8,3.18,1,48.5,16.6,15.9,4,12
electronegativity,electronegatividad,,cognates,noun,education_knowledge,1830,1919,0.846,0.833,6,17,5.06,1,72.7,23.4,25.3,4,20
electronic,electrónico,,cognates,adjective,technology_tools,1910,1711,0.889,0.818,4,10,2.45,2,51.9,19.3,12.2,5.7,14.7
electrotherapy,electroterapia,,cognates,noun,health_medicine,1860,1841,0.727,0.786,4,14,5.33,1,68.9,19.3,26.6,4,19
element,elemento,,cognates,noun,education_knowledge,1300,1545,0.833,0.875,3,7,2.54,7,50.3,16.6,12.7,10.6,10.4
elementary,elemental,,cognates,adjective,education_knowledge,1300,1569,0.75,0.8,4,10,2.67,3,54.3,19.3,13.3,6.9,14.7
elephant,elephantidae,,cognates,noun,nature_geography,1325,1875,0.778,0.667,3,8,2.92,2,48.9,16.6,14.6,5.7,12
elevator,elevador,,cognates,noun,technology_tools,1500,1754,0.75,0.875,4,8,3.05,2,52.2,19.3,15.2,5.7,12
elimination,eliminación,,cognates,noun,education_knowledge,1600,1573,0.6,0.818,5,11,3.07,5,61.7,21.5,15.3,8.9,15.9
email,email,,loanword_en_to_es,noun,technology_tools,1853,1746,1,1,2,5,2.32,2,36.4,13.2,11.6,5.7,6
emancipation,emancipación,,cognates,noun,government_politics,1620,1556,0.7,0.833,5,12,3.72,1,61.1,21.5,18.6,4,17
embargo,embargo,,loanword_es_to_en,noun,government_politics,1906,1542,1,1,3,7,3.69,3,52.4,16.6,18.4,6.9,10.4
embarkment,embarcadero,,cognates,noun,transportation,1508,1641,0.455,0.545,3,10,7,1,70.3,16.6,35,4,14.7
embarrassed,embarazada,Pregnant,false_friends,adjective,emotions_psychology,1608,1768,0.75,0.545,3,11,2.95,4,55.3,16.6,14.8,8,15.9
embouchure,embocadura,,cognates,noun,arts_entertainment,1700,1556,0.7,0.6,2,10,5.06,1,57.2,13.2,25.3,4,14.7
emergency,emergencia,,cognates,noun,emotions_psychology,1881,1573,0.667,0.8,4,9,2.28,3,51.1,19.3,11.4,6.9,13.4
emigration,emigración,,cognates,noun,social,1732,1556,0.636,0.8,4,10,3.75,1,56.8,19.3,18.8,4,14.7
emission,emisión,,cognates,noun,technology_tools,1600,1556,0.714,0.75,3,8,3.3,5,54.1,16.6,16.5,8.9,12
emotion,emoción,,cognates,noun,emotions_psychology,1808,1542,0.625,0.714,3,7,2.81,1,45.1,16.6,14,4,10.4
emotional,emocional,,cognates,adjective,emotions_psychology,1965,1569,0.778,0.889,4,9,2.34,4,52.4,19.3,11.7,8,13.4
emperor,emperador,,cognates,noun,government_politics,1325,1545,0.714,0.778,3,7,2.75,4,48.8,16.6,13.8,8,10.4
emphasis,énfasis,,cognates,noun,language_communication,1500,1573,0.3,0.5,3,8,2.81,4,50.7,16.6,14,8,12
empiricism,empiricismo,,cognates,noun,education_knowledge,1600,1763,0.875,0.909,5,10,4.52,3,65.7,21.5,22.6,6.9,14.7
empress,empresa,Enterprise/Company,false_friends,noun,government_politics,1325,1500,0.833,0.857,2,7,3.55,1,45.3,13.2,17.8,4,10.4
enchantment,encantamiento,,cognates,noun,religion_spirituality,1325,1616,0.667,0.692,3,11,4.02,3,59.5,16.6,20.1,6.9,15.9
enchilada,enchilada,,loanword_es_to_en,noun,food_cuisine,1876,1877,1,1,4,9,4.65,1,60,19.3,23.2,4,13.4
encounter,encuentro,,cognates,noun,social,1300,1545,1,0.556,3,9,2.74,9,55.8,16.6,13.7,12,13.4
encryption,encriptación,,cognates,noun,technology_tools,1960,1902,0.636,0.667,3,10,3.44,1,52.5,16.6,17.2,4,14.7
encyclopedia,enciclopedia,,cognates,noun,education_knowledge,1500,1573,0.9,0.917,6,12,3.48,1,61.7,23.4,17.4,4,17
endocrinology,endocrinología,,cognates,noun,health_medicine,1910,1863,0.75,0.857,6,13,4.24,1,66.6,23.4,21.2,4,18
endoderm,endodermo,,cognates,noun,health_medicine,1835,1732,1,0.889,3,8,5.09,1,58.1,16.6,25.4,4,12
